Year,Month,Title,Place
2025,Feb,"Freshwater science for tomorrow: advancing fish ecology, conservation, and management","Wildlife Biology Program, University of Montana"
2023,Dec,Freshwater science in a changing world: fisheries research for conservation and management,"School of Freshwater Science, UW-Milwaukee"
2023,Apr,Fish and freshwater in a changing World: Science for management and conservation,"Rocky Mountain Research Station, US Forest Service"
2022,Mar,Coldwater fish in a changing world: Actionable ecology for management and policy,"Department of Ecology, Montana State University"
2020,May,Exploring isotopic niches in Rocky Mountain Great Plains stream fish,"Department of Zoology and Physiology, University of Wyoming"
